Fell/found?,Meteor mass classes,Place,Type of meteorite,Year,Coordinate 1,Coordinates 2,"Sum of Mass, g"
Fell,> 40kg,Wuan,H6,1986,36.75,114.25,50000
Found,> 40kg,Wolsey,"Iron, IAB-MG",1981,44.4,-98.53333,74830
Found,> 40kg,Vyatka,H4,1991,57.53333,49,45000
Found,> 40kg,Ust-Nyukzha,"Iron, IAB complex",1992,56.38333,120.46667,44000
Found,> 40kg,Urua?u,"Iron, IAB-MG",1992,-14.53333,-48.76667,72500
Found,> 40kg,Tres Castillos,"Iron, ungrouped",1992,29.47,-105.8,150000
Found,> 40kg,Tafassasset,CR-an,2000,20.76333,10.44167,114000
Found,> 40kg,Sychevka,"Iron, IIIAB",1988,51.125,127.495,65000
Found,> 40kg,Sukhoj Liman,H4/5,1987,46.4,30.8,48000
Fell,> 40kg,Suizhou,L6,1986,31.61667,113.46667,260000
Fell,> 40kg,Sterlitamak,"Iron, IIIAB",1990,53.66667,55.98333,325000
Found,> 40kg,Soledade,"Iron, IAB-MG",1986,-29.05,-51.43333,68000
Fell,> 40kg,Sivas,H6,1989,39.82467,36.13583,40000
Found,> 40kg,Sierra Colorada,L5,1995,-40.8,-67.48333,71300
Found,> 40kg,SaU 001,L5,2000,20.51667,56.66667,450000
Found,> 40kg,Rio Limay,L5,1995,-39.85,-69.48333,280000
Found,> 40kg,Richfield,LL3.7,1983,37.22222,-101.68139,40800
Found,> 40kg,Retuerta del Bullaque,"Iron, IAB-MG",1980,39.45889,-4.3775,100000
Found,> 40kg,Renfrow,L6,1986,36.98667,-97.555,81600
Fell,> 40kg,Rahimyar Khan,L5,1983,28.225,70.2,67225
Found,> 40kg,Quijingue,"Pallasite, PMG",1984,-10.75,-39.21667,59000
Fell,> 40kg,Portales Valley,H6,1998,34.175,-103.295,71400
Fell,> 40kg,Piplia Kalan,Eucrite-mmict,1996,26.03472,73.94167,42000
Found,> 40kg,Pallasovka,"Pallasite, PMG",1990,49.86667,46.61167,198000
Found,> 40kg,Owasco,L6,1984,41.2,-103.68333,168400
Fell,> 40kg,Omolon,"Pallasite, PMG",1981,64.02,161.80833,250000
Found,> 40kg,Ngiangri,Iron,1983,32.2,87.8,700000
Fell,> 40kg,Mount Tazerzait,L5,1991,18.7,4.8,110000
Found,> 40kg,Mont Dieu,"Iron, ungrouped",1994,49.55,4.86667,360000
Found,> 40kg,Miles,"Iron, IIE",1992,-27.83333,150.33333,265000
Fell,> 40kg,Mbale,L5/6,1992,1.06667,34.16667,150000
Found,> 40kg,Mafuta,"Iron, IID",1984,-16.9025,30.40722,71500
Found,> 40kg,Macy,L6,1984,34.21667,-103.91667,42000
Fell,> 40kg,Machinga,L6,1981,-15.21222,35.24222,93200
Found,> 40kg,Longtian,"Iron, IIIAB",1991,27.35,108.5,350000
Fell,> 40kg,Lohawat,Howardite,1994,26.96556,72.62667,40000
Found,> 40kg,LEW 85320,H5,1985,-84.26223,161.41628,110224
Found,> 40kg,Lahmada 009,H3-6,1999,27.16667,-9.5,70000
Fell,> 40kg,La Criolla,L6,1985,-31.23333,-58.16667,45000
Fell,> 40kg,Kunya-Urgench,H5,1998,42.25,59.2,1100000
Found,> 40kg,Korra Korrabes,H3,1996,-25.2,18.08333,140000
Fell,> 40kg,Kidairat,H6,1983,14,28,100000
Fell,> 40kg,Kheri Maham,L5,1986,28.97083,76.32278,68500
Found,> 40kg,Julesburg,L3.6,1983,39.975,-102.26667,57900
Found,> 40kg,Juanita de Angeles,H5,1992,28.41667,-105.08333,85000
Fell,> 40kg,Juancheng,H5,1997,35.5,115.41667,100000
Found,> 40kg,Jalu,L6,2000,27.95833,21.68333,150000
Found,> 40kg,Ingella Station,H5,1987,-25.55,142.78333,50000
Found,> 40kg,HaH 173,L6,1996,28.63667,13.1965,45000
Found,> 40kg,HaH 153,H3.8-4,1995,28.60033,13.5775,50000
Fell,> 40kg,Gujba,CBa,1984,11.49167,11.65833,100000
Found,> 40kg,Gold Basin,L4,1995,35.875,-114.23333,61000
Found,> 40kg,Garabato,H5,1995,-28.86667,-60.2,160000
Found,> 40kg,Gan Gan,"Iron, IVA",1984,-42.66667,-68.08333,83000
Found,> 40kg,Fukang,"Pallasite, PMG",2000,44.43333,87.63333,1003000
Found,> 40kg,El Hammami,H5,1997,23.28333,-10.81667,240000
Found,> 40kg,DRP 88017,"Iron, IIAB",1988,-80.06667,156.38333,63000
Found,> 40kg,Dronino,"Iron, ungrouped",2000,54.74667,41.42167,40000
Fell,> 40kg,Dong Ujimqin Qi,Mesosiderite,1995,45.5,119.03333,128800
Found,> 40kg,Dho 020,H4/5,2000,19.03333,54.51667,256000
Found,> 40kg,Dho 005,L6,2000,18.16667,54.16667,125500
Found,> 40kg,DaG 749,CO3,1999,27.30167,15.7645,95000
Found,> 40kg,DaG 610,H4,1998,26.85,16.73333,44000
Found,> 40kg,Cook 007,H4,1989,-30.61667,130.41667,100000
Found,> 40kg,Cook 001,H5,1989,-30.33333,130.53333,105000
Found,> 40kg,Campinorte,"Iron, ungrouped",1992,-14.258,-49.15917,2000000
Found,> 40kg,Bur-Abor,"Iron, IIIAB",1997,3.98333,41.65,290000
Found,> 40kg,Bruceville,L6,1998,38.295,-121.405,83000
Found,> 40kg,Bilibino,"Iron, IIAB",1981,67.3,160.8,1000000
Found,> 40kg,Baygorria,"Iron, IAB complex",1994,-33,-56,80000
Found,> 40kg,Bayard,L5,1982,41.81667,-103.36667,75000
Found,> 40kg,Anyujskij,"Iron, IIAB",1981,66.9,164.2,100000
Fell,> 40kg,Akyumak,"Iron, IVA",1981,39.91667,42.81667,50000
Found,> 40kg,Acu?a,"Iron, IIIAB",1981,29.31667,-100.96667,217700
Found,> 40kg,A-881756,Stone-uncl,1988,-72,26,43000
Found,> 40kg,A-87251,LL6,1987,-72,26,46000
Found,30-39kg,Vermillion,"Pallasite, ungrouped",1991,39.73633,-96.36133,34360
Fell,30-39kg,Songyuan,L6,1993,45.25,125,36900
Fell,30-39kg,Jumapalo,L6,1984,-7.71667,111.2,32490
Found,30-39kg,HaH 328,H5,1999,28.95833,10.59167,30440
Found,30-39kg,Hagersville,"Iron, IAB complex",1999,42.96667,-80.15,30000
Fell,30-39kg,Gursum,H4/5,1981,9.36667,42.41667,34650
Found,30-39kg,Daraj 001,H5,1986,29.6425,11.73222,30000
Found,30-39kg,Broken Hill,L6,1994,-31.83333,141.76667,34000
Found,30-39kg,Bechar 001,L6,1998,30.83333,-3.33333,39000
Found,20-29kg,Wilder,H5,1982,43.72444,-116.91167,26600
Found,20-29kg,Twodot,H6,1999,46.7,-110.13333,21400
Found,20-29kg,Twannberg,"Iron, IIG",1984,47.12444,7.17889,20689
Found,20-29kg,Tiffa 001,H5,1997,19.949,11.933,26900
Fell,20-29kg,St-Robert,H5,1994,45.96861,-72.97806,25400
Found,20-29kg,Sinawan 001,L6,1991,31,11.66667,28600
Found,20-29kg,Sharon Springs,L6,1983,38.77083,-101.79833,23400
Found,20-29kg,Seagraves (c),L6/7,1989,32.98333,-102.56667,26810
Found,20-29kg,QUE 99001,Iron,1999,-84,168,22000
Found,20-29kg,Pampa (c),L4,1986,-23.2,-70.43333,25000
Fell,20-29kg,Ourique,H4,1998,37.60833,-8.28,20000
Found,20-29kg,Ocotillo,"Iron, IAB-MG",1990,32.83333,-116.06667,28570
Found,20-29kg,Maslyanino,"Iron, IAB complex",1992,54.25,84.33333,26000
Found,20-29kg,Maltah?he,"Iron, IAB-sLM",1991,-24.91667,16.98333,22270
Found,20-29kg,Kaffir (d),L5,1981,34.67167,-101.815,26760
Found,20-29kg,Ilafegh 008,L5,1989,21.6,1.66667,26100
Found,20-29kg,HaH 296,H5/6,2000,29.1,12.31667,27064
Found,20-29kg,HaH 280,CK4,2000,28.47017,12.972,26500
Found,20-29kg,HaH 087,L6,1995,28.59583,13.269,22114
Found,20-29kg,Great Bend,H6,1983,38.395,-98.91583,28770
Found,20-29kg,GRA 98186,H6,1998,-86.71667,-141.5,29000
Found,20-29kg,GRA 95200,L5,1995,-86.71667,-141.5,25066
Found,20-29kg,Friona,L5,1981,34.54,-102.56833,21900
Found,20-29kg,Forrest 002,L6,1980,-30.98333,127.88333,26000
Found,20-29kg,Flandreau,H5,1983,44.04833,-96.59167,21360
Found,20-29kg,Fairview,"Iron, IIIAB",1986,34.10139,-102.65,28800
Found,20-29kg,EET 92193,H6,1992,-76.04222,155.94038,22000
Found,20-29kg,Dumont,"Iron, IVB",1994,33.81667,-100.51667,27420
Found,20-29kg,Dho 379,L6,2000,19.0084,54.76913,25000
Found,20-29kg,Dho 007,Eucrite-cm,1999,18.335,54.18167,21270
Found,20-29kg,DaG 741,H4,1998,27.08167,16.28333,20500
Found,20-29kg,Cerro del Inca,"Iron, IIIF",1997,-22.21667,-68.90833,20600
Fell,20-29kg,Campos Sales,L5,1991,-7.03333,-40.16667,23680
Found,20-29kg,Camel Donga,Eucrite-mmict,1984,-30.31667,126.61667,25000
Fell,20-29kg,Bilanga,Diogenite,1999,12.45,-0.08333,25000
Fell,20-29kg,Ankhediya Mota,L4/5,1985,22.35556,73.575,20000
Found,20-29kg,A-881842,Stone-uncl,1988,-72,26,21064
Found,10-19kg,Y-81124,H5,1981,-71.5,35.66667,10790
Found,10-19kg,Willow Grove,"Iron, ungrouped",1995,-38.10306,146.18111,11700
Found,10-19kg,Uruachic,"Iron, IIIAB",1989,27.85,-108.23333,13000
Found,10-19kg,Tulia (d),H6,1981,34.60667,-101.76667,17700
Found,10-19kg,Tnz 028,H3,1991,25.25306,0.14028,15000
Fell,10-19kg,Tagish Lake,C2-ung,2000,59.70444,-134.20139,10000
Found,10-19kg,Springlake,L6,1980,34.34444,-102.22361,17300
Found,10-19kg,Souslovo,L4,1997,55.4295,55.78727,19300
Found,10-19kg,Snyder,H3,1983,32.71667,-100.91667,16900
Found,10-19kg,Smara,Eucrite-pmict,2000,26.68333,-11.73333,12870
Found,10-19kg,San Borjita,L4,1983,-27.55861,-56.13444,12300
Found,10-19kg,Safsaf,L6,1998,30.26667,-4.66667,11870
Found,10-19kg,Roundup,"Iron, IIIAB",1990,46.78333,-108.56667,17590
Found,10-19kg,Ragland Hill,H5,1980,34.78333,-103.66667,11800
Found,10-19kg,Ragland,LL3.4,1982,34.76778,-103.55,12100
Fell,10-19kg,Raghunathpura,"Iron, IIAB",1986,27.72528,76.465,10200
Fell,10-19kg,Quija,H,1990,44.61667,126.13333,17450
Fell,10-19kg,Peekskill,H6,1992,41.28333,-73.91667,12570
Found,10-19kg,PCA 91009,L6,1991,-85.6882,-68.33784,18000
Found,10-19kg,Patricia,H5,1983,32.5,-102.03333,14900
Found,10-19kg,PAT 91500,L5,1991,-85.07424,-64.46576,16541
Found,10-19kg,Pampa Providencia,"Iron, IIIAB",1994,-24.45,-69.57167,12400
Found,10-19kg,Pampa (e),L6,1987,-23.2,-70.43333,10000
Found,10-19kg,Pampa (d),L5,1986,-23.2,-70.43333,12800
Found,10-19kg,Pampa (b),L4/5,1986,-23.2,-70.43333,10000
Found,10-19kg,Page City,"Iron, IVA",1980,39.16667,-101.28333,13630
Found,10-19kg,O'Donnell,H5,1992,32.91217,-101.91867,12700
Fell,10-19kg,New Halfa,L4,1994,15.36667,35.68333,12000
Found,10-19kg,Morrow County,L6,1999,45.5,-119.5,18200
Found,10-19kg,McKenzie Draw (a),H4,1989,32.925,-102.625,11800
Found,10-19kg,Maria da F?,"Iron, IVA",1987,-22.3,-45.36667,18000
Found,10-19kg,LON 94104,H6,1994,-81.33333,152.83333,10172
Found,10-19kg,LEW 85319,H5,1985,-84.26398,161.39532,11491
Fell,10-19kg,Laochenzhen,H5,1987,33.13333,115.16667,14250
Found,10-19kg,Lamesa,"Iron, IAB-sLM",1981,32.88333,-101.88333,16900
Fell,10-19kg,Kokubunji,L6,1986,34.3,133.95,11510
Found,10-19kg,Kalahari 009,Lunar (basalt),1999,-20.9818,22.9766,13500
Found,10-19kg,JaH 003,L5,1999,19.53,55.75833,10830
Found,10-19kg,Indian?_polis,"Iron, IIAB",1989,-19.16667,-47.83333,14850
Found,10-19kg,HaH 148,L5,1995,28.71967,12.86433,15770
Found,10-19kg,HaH 051,H6,1994,28.8435,12.99683,12000
Found,10-19kg,HaH 019,H6,1990,29.06667,12.68333,13431
Found,10-19kg,HaH 001,H5,1990,29,12.23333,19418
Found,10-19kg,Guanaco,"Iron, IIG",2000,-25.1,-69.53333,13100
Found,10-19kg,GSS 019,LL6,1999,25.53667,25.65778,12000
Found,10-19kg,GRO 95500,L6,1995,-85.66667,175,10000
Found,10-19kg,Grayton,H5,1983,30.31167,-86.16667,11300
Fell,10-19kg,Fermo,H3-5,1996,43.18111,13.75333,10200
Fell,10-19kg,El Idrissia,L6,1989,34.41667,3.25,10000
Found,10-19kg,El Bahrain,L6,1983,28.6,26.4,14000
Found,10-19kg,EET 87538,L6,1987,-76.18333,157.16667,11894
Found,10-19kg,Edmonson (b),H4,1981,34.28333,-101.83333,14402
Found,10-19kg,DRP 00200,"Iron, IIAB",2000,-80.06667,156.38333,10000
Fell,10-19kg,Djoumine,H5-6,1999,36.95,9.55,10000
Found,10-19kg,Djebel In-Azzene,"Iron, IIIAB",1990,27.86667,0.45,12500
Found,10-19kg,Divnoe,Achondrite-ung,1981,45.7,43.7,12700
Found,10-19kg,Dho 360,LL3-6,2000,19.04002,54.78383,15300
Found,10-19kg,Dho 069,H4,1999,19.15867,54.731,10083
Found,10-19kg,Darinskoe,"Iron, IIC",1984,51.41667,51.96667,11200
Fell,10-19kg,Dahmani,LL6,1981,35.61667,8.83333,18000
Found,10-19kg,DaG 956,L6,1997,27.13267,15.9925,15000
Found,10-19kg,DaG 955,H6,1999,27.13183,16.20767,18500
Found,10-19kg,DaG 779,Howardite,1999,26.99233,16.4375,18800
Found,10-19kg,DaG 595,H5,1998,27.63917,15.90133,14931
Found,10-19kg,DaG 477,L6,1998,27.74767,16.003,16128
Found,10-19kg,DaG 399,L5,1998,27.86667,15.94283,11455
Found,10-19kg,Colton,"Iron, IIIAB",1993,46.57056,-117.09861,19670
Found,10-19kg,Cole Creek,H5,1991,41.35,-99.11667,16300
Found,10-19kg,Carichic,H5,1983,27.93333,-107.05,17000
Found,10-19kg,Caddo County,"Iron, IAB-ung",1987,35,-98.33333,18000
Found,10-19kg,Binya,"Iron, IIIF",1981,-34.225,146.38167,11300
Found,10-19kg,Bechar 002,H6,1998,30.83333,-3.33333,12000
Fell,10-19kg,Baszk?_wka,L5,1994,52.03333,20.93583,15500
Found,10-19kg,Barrilla,H5,1994,30.78333,-103.46667,11100
Fell,10-19kg,Ban Rong Du,"Iron, ungrouped",1993,16.66667,101.18333,16700
Found,10-19kg,ALHA81013,"Iron, IIAB",1981,-76.74756,158.84338,17727
Found,10-19kg,ALH 84006,H4/5,1984,-76.76228,158.77438,16000
Found,10-19kg,ALH 84005,L5,1984,-76.89102,156.89321,12000
Found,10-19kg,Aldama (a),"Iron, IIIAB",1985,28.83333,-105.86667,11000
Found,10-19kg,A-881986,L6,1988,-72,26,10147
Found,10-19kg,A-87034,L4,1987,-72,26,19065
Fell,0-9kg,Yafa,H5,2000,13.71111,45.17,5700
Found,0-9kg,Y-981031,Lunar (anorth),1998,-71.54694,35.40194,185.8
Found,0-9kg,Y-980459,Martian (shergottite),1998,-72.09802,35.24265,82.46
Found,0-9kg,Y-980318,Eucrite-cm,1998,-71.5,35.66667,166.81
Found,0-9kg,Y-86814,Stone-uncl,1986,-71.5,35.66667,0
Found,0-9kg,Y-86813,Stone-uncl,1986,-71.5,35.66667,4.18
Found,0-9kg,Y-86812,Stone-uncl,1986,-71.5,35.66667,52.64
Found,0-9kg,Y-86811,Stone-uncl,1986,-71.5,35.66667,22.64
Found,0-9kg,Y-86810,Diogenite,1986,-71.5,35.66667,55.44
Found,0-9kg,Y-86809,Stone-uncl,1986,-71.5,35.66667,41.1
Found,0-9kg,Y-86808,Diogenite,1986,-71.5,35.66667,16.44
Found,0-9kg,Y-86807,Stone-uncl,1986,-71.5,35.66667,74.14
Found,0-9kg,Y-86806,Stone-uncl,1986,-71.5,35.66667,333.74
Found,0-9kg,Y-86805,Stone-uncl,1986,-71.5,35.66667,10.74
Found,0-9kg,Y-86804,Stone-uncl,1986,-71.5,35.66667,14.41
Found,0-9kg,Y-86803,Stone-uncl,1986,-71.5,35.66667,2.16
Found,0-9kg,Y-86802,Stone-uncl,1986,-71.5,35.66667,3.5
Found,0-9kg,Y-86801,Stone-uncl,1986,-71.5,35.66667,5.44
Found,0-9kg,Y-86800,Stone-uncl,1986,-71.5,35.66667,7.62
Found,0-9kg,Y-86799,Stone-uncl,1986,-71.5,35.66667,8.65
Found,0-9kg,Y-86798,Stone-uncl,1986,-71.5,35.66667,212.79
Found,0-9kg,Y-86797,Stone-uncl,1986,-71.5,35.66667,693.75
Found,0-9kg,Y-86796,H6,1986,-71.5,35.66667,6140
Found,0-9kg,Y-86795,Howardite,1986,-71.5,35.66667,9.07
Found,0-9kg,Y-86794,Stone-uncl,1986,-71.5,35.66667,4.8
Found,0-9kg,Y-86793,Stone-uncl,1986,-71.5,35.66667,17.14
Found,0-9kg,Y-86792,Stone-uncl,1986,-71.5,35.66667,40.59
Found,0-9kg,Y-86791,Stone-uncl,1986,-71.5,35.66667,4.32
Found,0-9kg,Y-86790,Stone-uncl,1986,-71.5,35.66667,45.83
Found,0-9kg,Y-86789,C2-ung,1986,-71.5,35.66667,340.36
Found,0-9kg,Y-86788,Stone-uncl,1986,-71.5,35.66667,840.7
Found,0-9kg,Y-86787,L6,1986,-71.5,35.66667,4771
Found,0-9kg,Y-86786,Stone-uncl,1986,-71.5,35.66667,6.38
Found,0-9kg,Y-86785,Stone-uncl,1986,-71.5,35.66667,7.7
Found,0-9kg,Y-86784,Stone-uncl,1986,-71.5,35.66667,356.15
Found,0-9kg,Y-86783,Stone-uncl,1986,-71.5,35.66667,3.71
Found,0-9kg,Y-86782,Stone-uncl,1986,-71.5,35.66667,8.55
Found,0-9kg,Y-86781,Stone-uncl,1986,-71.5,35.66667,49.65
Found,0-9kg,Y-86780,Stone-uncl,1986,-71.5,35.66667,27.91
Found,0-9kg,Y-86779,L6,1986,-71.5,35.66667,15.92
Found,0-9kg,Y-86778,Stone-uncl,1986,-71.5,35.66667,25
Found,0-9kg,Y-86777,L6,1986,-71.5,35.66667,80.48
Found,0-9kg,Y-86776,LL4,1986,-71.5,35.66667,396.76
Found,0-9kg,Y-86775,Stone-uncl,1986,-71.5,35.66667,381.5
Found,0-9kg,Y-86774,Stone-uncl,1986,-71.5,35.66667,611.5
Found,0-9kg,Y-86773,C,1986,-71.5,35.66667,28.35
Found,0-9kg,Y-86772,C,1986,-71.5,35.66667,81
Found,0-9kg,Y-86771,C,1986,-71.5,35.66667,38.31
Found,0-9kg,Y-86770,C,1986,-71.5,35.66667,94.89
Found,0-9kg,Y-86769,Stone-uncl,1986,-71.5,35.66667,76.31
Found,0-9kg,Y-86768,Stone-uncl,1986,-71.5,35.66667,3.19
Found,0-9kg,Y-86767,C,1986,-71.5,35.66667,2.86
Found,0-9kg,Y-86766,Stone-uncl,1986,-71.5,35.66667,2.94
Found,0-9kg,Y-86765,Stone-uncl,1986,-71.5,35.66667,10.64
Found,0-9kg,Y-86764,Stone-uncl,1986,-71.5,35.66667,13.39
Found,0-9kg,Y-86763,Eucrite-cm,1986,-71.5,35.66667,10.42
Found,0-9kg,Y-86762,Eucrite-pmict,1986,-71.5,35.66667,27.34
Found,0-9kg,Y-86761,L6,1986,-71.5,35.66667,5.57
Found,0-9kg,Y-86760,EH-imp melt,1986,-71.5,35.66667,7.17
Found,0-9kg,Y-86759,L6,1986,-71.5,35.66667,9.21
Found,0-9kg,Y-86758,L6,1986,-71.5,35.66667,3.45
Found,0-9kg,Y-86757,Stone-uncl,1986,-71.5,35.66667,57.66
Found,0-9kg,Y-86756,L6,1986,-71.5,35.66667,26.93
Found,0-9kg,Y-86755,L6,1986,-71.5,35.66667,11.04
Found,0-9kg,Y-86754,L6,1986,-71.5,35.66667,136.31
Found,0-9kg,Y-86753,L4,1986,-71.5,35.66667,7.51
Found,0-9kg,Y-86752,CV3,1986,-71.5,35.66667,10.27
Found,0-9kg,Y-86751,CV3,1986,-71.5,35.66667,197.26
Found,0-9kg,Y-86750,H5,1986,-71.5,35.66667,3.99
Found,0-9kg,Y-86749,H4,1986,-71.5,35.66667,21.24
Found,0-9kg,Y-86748,H5,1986,-71.5,35.66667,595.24
Found,0-9kg,Y-86747,H4,1986,-71.5,35.66667,3.63
Found,0-9kg,Y-86746,H4,1986,-71.5,35.66667,6.37
Found,0-9kg,Y-86745,L/LL,1986,-71.5,35.66667,11.8
Found,0-9kg,Y-86744,L6,1986,-71.5,35.66667,1.58
Found,0-9kg,Y-86743,L4/5,1986,-71.5,35.66667,13.5
Found,0-9kg,Y-86742,L6,1986,-71.5,35.66667,66.91
Found,0-9kg,Y-86741,LL6,1986,-71.5,35.66667,5.89
Found,0-9kg,Y-86740,L6,1986,-71.5,35.66667,1.94
Found,0-9kg,Y-86739,LL6,1986,-71.5,35.66667,3.42
Found,0-9kg,Y-86738,H5,1986,-71.5,35.66667,1.75
Found,0-9kg,Y-86737,CI1,1986,-71.5,35.66667,2.81
Found,0-9kg,Y-86736,CM2,1986,-71.5,35.66667,3.09
Found,0-9kg,Y-86735,L6,1986,-71.5,35.66667,1.82
Found,0-9kg,Y-86734,L5,1986,-71.5,35.66667,4.13
Found,0-9kg,Y-86733,LL6,1986,-71.5,35.66667,3.07
Found,0-9kg,Y-86732,L6,1986,-71.5,35.66667,4.63
Found,0-9kg,Y-86731,L6,1986,-71.5,35.66667,4.43
Found,0-9kg,Y-86730,LL6,1986,-71.5,35.66667,6.54
Found,0-9kg,Y-86729,L6,1986,-71.5,35.66667,11.14
Found,0-9kg,Y-86728,LL6,1986,-71.5,35.66667,2.56
Found,0-9kg,Y-86727,LL6,1986,-71.5,35.66667,1.43
Found,0-9kg,Y-86726,L6,1986,-71.5,35.66667,8.71
Found,0-9kg,Y-86725,LL6,1986,-71.5,35.66667,3.97
Found,0-9kg,Y-86724,L6,1986,-71.5,35.66667,1.54
Found,0-9kg,Y-86723,LL6,1986,-71.5,35.66667,2.57
Found,0-9kg,Y-86722,LL6,1986,-71.5,35.66667,79.04
Found,0-9kg,Y-86721,L6,1986,-71.5,35.66667,1.74
Found,0-9kg,Y-86720,C2-ung,1986,-71.5,35.66667,858.71
Found,0-9kg,Y-86719,L4,1986,-71.5,35.66667,68.64
Found,0-9kg,Y-86718,L5,1986,-71.5,35.66667,95.55
Found,0-9kg,Y-86717,L6,1986,-71.5,35.66667,14.73
Found,0-9kg,Y-86716,CM2,1986,-71.5,35.66667,1.61
Found,0-9kg,Y-86715,H4,1986,-71.5,35.66667,31.75
Found,0-9kg,Y-86714,H5,1986,-71.5,35.66667,11.38
Found,0-9kg,Y-86713,LL6,1986,-71.5,35.66667,18.37
Found,0-9kg,Y-86712,L3.5,1986,-71.5,35.66667,723.55
Found,0-9kg,Y-86711,LL3.4,1986,-71.5,35.66667,37.05
Found,0-9kg,Y-86710,H4,1986,-71.5,35.66667,20.2
Found,0-9kg,Y-86709,L6,1986,-71.5,35.66667,3.08
Found,0-9kg,Y-86708,H5,1986,-71.5,35.66667,118.12
Found,0-9kg,Y-86707,H4,1986,-71.5,35.66667,10.51
Found,0-9kg,Y-86706,L3.8,1986,-71.5,35.66667,42.03
Found,0-9kg,Y-86705,L3.9,1986,-71.5,35.66667,202.69
Found,0-9kg,Y-86704,CM2,1986,-71.5,35.66667,1.49
Found,0-9kg,Y-86703,CM2,1986,-71.5,35.66667,1.69
Found,0-9kg,Y-86702,CM2,1986,-71.5,35.66667,3.2
Found,0-9kg,Y-86701,CM2,1986,-71.5,35.66667,4.46
Found,0-9kg,Y-86700,CM2,1986,-71.5,35.66667,6.56
Found,0-9kg,Y-86699,CM2,1986,-71.5,35.66667,6.5
Found,0-9kg,Y-86698,CM2,1986,-71.5,35.66667,6.12
Found,0-9kg,Y-86697,CM2,1986,-71.5,35.66667,6.35
Found,0-9kg,Y-86696,CM2,1986,-71.5,35.66667,12.34
Found,0-9kg,Y-86695,CM2,1986,-71.5,35.66667,59.59
Found,0-9kg,Y-86694,CM2,1986,-71.5,35.66667,4.91
Found,0-9kg,Y-86693,CM2,1986,-71.5,35.66667,16.17
Found,0-9kg,Y-86692,LL6,1986,-71.5,35.66667,19.78
Found,0-9kg,Y-86691,L6,1986,-71.5,35.66667,104.13
Found,0-9kg,Y-86690,CM2,1986,-71.5,35.66667,9.5
Found,0-9kg,Y-86689,L6,1986,-71.5,35.66667,263.51
Found,0-9kg,Y-86688,CM2,1986,-71.5,35.66667,0.66
Found,0-9kg,Y-86687,CM2,1986,-71.5,35.66667,0.97
Found,0-9kg,Y-86686,CM2,1986,-71.5,35.66667,26.99
Found,0-9kg,Y-86685,Stone-uncl,1986,-71.5,35.66667,0.37
Found,0-9kg,Y-86684,Stone-uncl,1986,-71.5,35.66667,0.89
Found,0-9kg,Y-86683,Stone-uncl,1986,-71.5,35.66667,3.86
Found,0-9kg,Y-86682,Stone-uncl,1986,-71.5,35.66667,4.17
Found,0-9kg,Y-86681,Stone-uncl,1986,-71.5,35.66667,3.97
Found,0-9kg,Y-86680,Stone-uncl,1986,-71.5,35.66667,5.08
Found,0-9kg,Y-86679,Stone-uncl,1986,-71.5,35.66667,4.14
Found,0-9kg,Y-86678,Stone-uncl,1986,-71.5,35.66667,77.43
Found,0-9kg,Y-86677,Stone-uncl,1986,-71.5,35.66667,31.81
Found,0-9kg,Y-86676,Stone-uncl,1986,-71.5,35.66667,3.78
Found,0-9kg,Y-86675,Stone-uncl,1986,-71.5,35.66667,3.85
Found,0-9kg,Y-86674,Stone-uncl,1986,-71.5,35.66667,4.44
Found,0-9kg,Y-86673,Stone-uncl,1986,-71.5,35.66667,0.74
Found,0-9kg,Y-86672,Stone-uncl,1986,-71.5,35.66667,0.42
Found,0-9kg,Y-86671,Stone-uncl,1986,-71.5,35.66667,0.65
Found,0-9kg,Y-86670,Stone-uncl,1986,-71.5,35.66667,1.03
Found,0-9kg,Y-86669,Stone-uncl,1986,-71.5,35.66667,1.05
Found,0-9kg,Y-86668,Stone-uncl,1986,-71.5,35.66667,1.4
Found,0-9kg,Y-86667,Stone-uncl,1986,-71.5,35.66667,2.89
Found,0-9kg,Y-86666,Stone-uncl,1986,-71.5,35.66667,1.97
Found,0-9kg,Y-86665,Stone-uncl,1986,-71.5,35.66667,1.98
Found,0-9kg,Y-86664,Stone-uncl,1986,-71.5,35.66667,2.17
Found,0-9kg,Y-86663,Stone-uncl,1986,-71.5,35.66667,4.08
Found,0-9kg,Y-86662,Stone-uncl,1986,-71.5,35.66667,3.17
Found,0-9kg,Y-86661,Stone-uncl,1986,-71.5,35.66667,5.32
Found,0-9kg,Y-86660,Stone-uncl,1986,-71.5,35.66667,4.89
Found,0-9kg,Y-86659,Stone-uncl,1986,-71.5,35.66667,3.41
Found,0-9kg,Y-86658,Stone-uncl,1986,-71.5,35.66667,3.58
Found,0-9kg,Y-86657,Stone-uncl,1986,-71.5,35.66667,4.07
Found,0-9kg,Y-86656,Stone-uncl,1986,-71.5,35.66667,5.9
Found,0-9kg,Y-86655,Stone-uncl,1986,-71.5,35.66667,6.2
Found,0-9kg,Y-86654,Stone-uncl,1986,-71.5,35.66667,3.68
Found,0-9kg,Y-86653,Stone-uncl,1986,-71.5,35.66667,7
Found,0-9kg,Y-86652,Stone-uncl,1986,-71.5,35.66667,8.07
Found,0-9kg,Y-86651,Stone-uncl,1986,-71.5,35.66667,17.47
Found,0-9kg,Y-86650,Stone-uncl,1986,-71.5,35.66667,16.74
